valor,texto
0,"Hoje, assume-se que o regime jurídico da propriedade intelectual (PI) seja
benéfico à sociedade, posto que bem difundida a ideia de que sua proteção incentivaria
investimentos em pesquisa e inovação, processo que culminaria em desenvolvimento
econômico. Tal é a importância da relação entre a propriedade intelectual e o
desenvolvimento (tecnológico e econômico) que o art. 5º, XIX, da Constituição Federal
de 1988, reconheceu-a expressamente. Entretanto, tendo em vista o cenário pós crise
econômica global, combinado com a evolução da ideia de propriedade e com o
desempenho inovador insatisfatório do Brasil em relação a países com histórico
socioeconômico e normas de PI semelhantes, é essencial uma abordagem crítica dos
impactos do regime vigente, em especial o sistema de patente, no Brasil e em países em
desenvolvimento em geral. Ainda que a legislação brasileira atinja seu objetivo
primário, que é aquecer o mercado e o ritmo de P&D, resta a questão sobre quais são os
verdadeiros receptores finais desses ganhos. Considerando a tendência do sistema atual
da propriedade intelectual em favorecer o comércio internacional (e países
desenvolvidos exportadores de tecnologia) em detrimento da produção tecnológica
interna, perguntamo-nos em que medida a sociedade está realmente sendo beneficiada
por essa abordagem da PI. De forma a enriquecer o panorama, examinamos dados
acerca da inovação na Coreia do Sul – país recentemente classificado como
desenvolvido e, assim como o Brasil, atingido pela harmonização das normas de PI
promovida na década de 1990 – fornecidos pelo seu órgão de proteção da propriedade
intelectual (KIPO), e também a doutrina de diversos especialistas nos temas de
desenvolvimento, PI e sua legislação correlata."
0,"A existência de espaços protegidos dentro da propriedade rural promove benefícios coletivos, pois contribuem para a preservação do meio ambiente. Por meio da ação privada dá-se o aumento do bem-estar social, o que se chama de externalidades positivas. Ao mesmo tempo, recai sobre o agente que as produz uma série de custos, dentre eles custos de transação, uma vez que o mercado não transporta as informações necessárias para que as externalidades sejam percebidas pelos agentes econômicos e consumidores. O problema deste trabalho consiste em estudar o comportamento do agente econômico diante das externalidades positivas e custos derivados dos espaços protegidos em áreas agrícolas, com o objetivo de analisar se ele internaliza essas externalidades e custos e como o faz; para que se verifiquem as implicações econômicas sobre a concretização da preservação ecológica. Para tanto, são utilizados como principais aportes teóricos o Direito Ambiental e a Nova Economia Institucional (NEI). O Direito Ambiental permite o estudo da proteção ambiental e, especificamente, dos espaços protegidos, sem se descuidar da ótica econômica que permeia a relação entre ser humano e meio ambiente. A NEI proporciona o estudo dos custos de transação e das externalidades positivas, para que se possam analisar a percepção e o comportamento do agente frente às externalidades que produz, verificando-se qual a relevância das instituições nesse contexto. A metodologia aplicada é a pesquisa bibliográfica e estudo de caso, sob uma abordagem indutiva. Para o estudo de caso, toma-se como unidade de análise uma usina de cana-de-açúcar, em razão da expressividade do setor sucroenergético, que utiliza grande parte do território nacional para produção, e do aumento da importância do setor e do biocombustível etanol. O etanol é um bem cujas informações sobre o processo produtivo são difíceis de serem obtidas pelo consumidor, o que resulta em uma assimetria de informação e custos que afetam a eficiência econômica e, ao fim, podem desestimular a preservação ecológica. A partir dos dados coletados, o estudo de caso constatou que a proteção ambiental praticada pela usina resulta precipuamente de incentivos advindos do próprio mercado. A atenção do agente está voltada à reputação no mercado e na sociedade e à certificação ambiental, que diminui a assimetria de informação e os custos de transação. Essa postura permite a inserção e permanência em novos mercados, cada vez mais rigorosos quanto à exigência de certos padrões ambientais de gestão. Conclui-se que, tendo sido verificado o caráter indutor do mercado quanto à proteção ambiental, cabe ao Estado intervir no sentido de fomentar esse comportamento convergente com o interesse público de um meio ambiente ecologicamente equilibrado. Para isso, são necessárias políticas públicas que promovam por meio de instrumentos econômicos os comportamentos desejados, abandonando a arraigada e ineficiente estrutura focada somente em instrumentos de comando e controle. Assim, se o mercado tem exigido uma gestão ecologicamente sustentável, ao criar incentivos à certificação o Estado cumpre seu papel de garantidor de um ambiente institucional que promove a proteção ambiental."
0,"Este trabalho analisa as cláusulas de tratamento diferenciado de países em desenvolvimento no âmbito da OMC. Considera as mudanças ocorridas no cenário da política econômica internacional, que quebraram o paradigma da hegemonia das nações desenvolvidas e tendem a um cenário de multipolarização com a ascensão de potências emergentes. Confere destaque especial a Brasil, Rússia, Índia, China e África do Sul (BRICS), seus papeis nas negociações e suas atuações em litígio junto ao Órgão de Solução de Controvérsias da OMC. Tal pesquisa é oriunda de iniciação científica, com fomento da Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP), desenvolvida durante o ano de 2013."
0,"A dissertação examina a relação entre o processo de deliberação e do método dialético, a partir do estudo das obras aristotélicas, com especial ênfase para “Ética a Nicomaco”. Para tanto a análise se centralizou na seguinte pergunta: a dialética está inserida dentro do processo de deliberação? Se sim, de que maneira? O estudo foi realizado mediante o uso de bibliografia base e complementar a partir das quais se propõe compor as principais características da dialética, bem como da deliberação. Como resultado da investigação, temos que, apesar de orientados para distintas finalidades, os dois métodos se interligam em determinados aspectos. Observou-se que no âmbito da percepção, ambos partem da elucidação da realidade e dos problemas particulares a serem investigados de modo a garantir resultados objetivos. Foi reconhecido que método dialético seria usado na reflexão acerca dos fins últimos. Nesse ponto a divergência se deu no tocante à: a) se constituem enquanto objetos da deliberação os fins últimos ou somente os meios pelos quais os alcançamos; b) considerando a perspectiva da deliberação acerca dos meios, no que consiste os fins últimos? A dissertação, desse modo, pretende elucidar o modo pelo qual o método dialético e deliberativo foram estruturados, ressaltando seus traços primordiais, além de tratar de um ponto bastante controverso, a saber: como a razão teórica pode integrar o procedimento de racionalidade prática e de que maneira isso se torna relevante para a compreensão das questões referentes à voluntariedade da ação."
0,"O presente trabalho de conclusão de curso visa abordar a obrigação de cumprir a lei e a desobediência civil como forma de oposição às leis injustas. Para tanto, serão apresentados alguns conceitos iniciais e premissas necessárias ao desenvolvimento do tema, como o conceito e as características da desobediência civil e a relação entre lei e moral. A seguir será apresentado embasamento legal ao direito à manifestação e serão discutidos exemplos históricos de oposição a leis injustas, como a revolução pacífica de Gandhi. Por fim, serão analisadas as recentes manifestações ocorridas no Brasil de modo a verificar a efetividade da desobediência civil como estímulo a mudanças sociais e políticas."
0,"Em relação ao binômio álcool-direção, objeto do presente estudo, as medidas tomadas pelo Brasil tiveram o propósito de enrijecer a legislação referente a essa matéria, mediante a edição de duas leis: Lei n° 11.705 de 19 de junho de 2008, popularmente conhecida como “Lei Seca”, e Lei n° 12.760, de 20 de dezembro de 2012, apelidada de “Nova Lei Seca”. O presente trabalho tem a intenção de abordar em seu primeiro capítulo as consequências do álcool no corpo humano e no momento de conduzir um veículo automotor, já que esse binômio constitui-se em uma das maiores causas de acidentes fatais com possibilidade de prevenção. No capítulo 2, há o exame dos artigos e suas modificações desde o Código de Trânsito Brasileiro (1997) até ao advento da Lei n° 12.760/2012 (Nova Lei Seca). Depois dessa abordagem, pretende-se questionar os temas polêmicos da “Nova Lei Seca” em vigor, demonstrando que seus supostos benefícios são totalmente discutíveis, já que garantias constitucionais foram violadas e quando trata-se de apoiar ou exigir a elaboração de uma lei que fere certas liberdades individuais, a população deveria ser mais cautelosa em tal alarde, já que tais restrições recairão sobre ela própria. No capítulo 4 são analisados os dados estatísticos dos acidentes de trânsito para tentar entender o motivo dos resultados terem sido positivos ou negativos após o surgimento da lei seca. Por fim, no capítulo 5, faz-se uma discussão sobre as políticas públicas que podem agregar e/ou serem alternativas ao texto legal da lei seca."
0,"O presente estudo tem como objetivo analisar o incidente de resolução de demandas
repetitivas, mecanismo criado pela Lei 13.105 de 16 de março de 2015, qual seja o Código de
Processo Civil de 2015. Buscou-se, em todos os tópicos, trazer à baila pontos ainda polêmicos
acerca do novel instituto e as opiniões de importantes juristas e doutrinadores. Inicialmente foi
apresentado o tratamento processual conferido às demandas repetitivas pela ação coletiva, pelos
recursos especiais e extraordinários repetitivos, pelo incidente de assunção de competência e
por fim, pelo IRDR. Logo após, foi feita uma explanação acerca do regime jurídico do instituto
protagonista do estudo, perpassando por seus antecedentes, pela legitimidade, pela
admissibilidade e pela competência. Por fim, estudou-se a interação do incidente de resolução
com outros institutos presentes no ordenamento jurídico brasileiro, sendo estes o julgamento
liminar de improcedência, os precedentes vinculantes e o julgamento monocrático de recursos.
"
0,"O mercado da educação superior é um mercado altamente regulado, em seus aspectos gerais e setoriais, da mesma forma que pela jurisprudência do CADE pode-se dizer composto por quatro mercados relevantes: os mercados de ensino superior de graduação e pós-graduação, nas suas modalidades presencial e à distância. Ainda consta com barreiras de entrada bem definidas tais como ausência de reputação/conhecimento por parte dos alunos; a necessidade de altos investimentos e/ou custos irrecuperáveis; a regulação setorial; o papel do investimento em marketing e a importância de uma marca forte no mercado, incluindo ainda incluem a economias de escala. Isto sem contar às barreiras regulatórias impostas pelo Estado. São seus mais relevantes critérios de rivalidade o preço, a escala, a capilaridade da rede de polos, os investimentos em marketing e a qualidade. Isto posto, tem-se uma sobreposição de competências regulatórias entre o CADE e os setores responsáveis pela regulação setorial, que pode vir a ser agravado com a criação do INSAES."
0,"O presente trabalho busca, de maneira introdutória, traçar um panorama a respeito da Alienação Parental a partir de análises doutrinárias, a fim de trazer uma breve contextualização histórica que ressalta a atribuição do papel de cuidadora à mãe, e busca compreender a questão da primazia materna estabelecida por uma construção sociocultural dos papéis parentais e das relações de gênero. Ademais, busca-se apresentar diversas definições e incertezas acerca do termo Síndrome da Alienação Parental, proposto pelo Dr. Richard Alan Gardner, a partir de uma revisão da literatura nacional e internacional, bem como suas características e formas de manifestação nos sujeitos envolvidos. Também, o trabalho analisa as falsas alegações e a implantação de falsas memórias de abuso sexual, como instrumentos típicos da Síndrome da Alienação Parental, à luz do direito e da psicologia. Estuda-se o que são falsas memórias, como elas se formam e como podem afetar a identidade das pessoas e prejudicar, em uma última análise, a realização da justiça. Como objetivo principal, o trabalho discute, empiricamente, o papel do Judiciário na resolução dos conflitos envolvendo o tema. Como o Poder Judiciário encara as alegações de alienação parental ou de abuso sexual? Qual é o sexo predominante dos genitores alienadores? Quais os atos de alienação parental que são alegados pelas partes? Quais medidas os magistrados tomam para que a alienação parental seja evitada ao máximo? Para que se possa entender o fenômeno da alienação parental para além dos livros, a pesquisa empírica se mostra item indispensável. Para tanto, é feita uma coleta de dados sobre todos os casos reais envolvendo alienação parental nos Tribunais de Justiça de São Paulo e de Minas Gerais, entre os anos de 2009 e 2014. Trata-se, portanto, de um estudo demográfico e empírico quantitativo que trará um panorama das ações que envolvem o tema do fenômeno da Alienação Parental. Por fim, o trabalho apresenta algumas possíveis soluções para o problema da alienação parental, envolvendo a mediação, a guarda compartilhada e a elaboração de planos parentais."
0,"Nosso trabalho tem como principal objetivo determinar o perfil institucional dos Conselhos Municipais de Políticas Públicas de Ribeirão Preto/SP, por meio da análise dos atos normativos que os criam e regulamentam e com base na aplicação de variáveis identificadas na literatura recente sobre o tema. A necessidade de um estudo com este formato foi uma das percepções do Núcleo de Assessoria Jurídica Popular de Ribeirão Preto (NAJURP), ao desenvolver práticas de extensão em assessoria e educação em Direitos Humanos, em função da falta de transparência sobre o tema e de grandes diferenças encontradas no funcionamento dos variados Conselhos do município. O estudo identificou que, na história do município, foram criados 47 Conselhos, sendo escolhidos para compor a amostra 23 deles, a partir de critérios que delimitam o sentido de Conselho que adotamos e identificam os que estão em atividade atualmente. Na literatura científica foram identificadas variáveis que representam as características que mais influenciam a efetividade dos Conselhos, divididas em três categorias: características gerais, processo decisório e composição/representação. Os resultados indicaram grande falta de transparência quanto ao funcionamento dos Conselhos e que eles, em geral, integraram em seus formatos algumas características consideradas a princípio como essenciais para sua efetividade, mas que outras características recentes, identificadas em função das limitações das anteriores, são implementadas em poucos deles. Esperamos que os resultados deste trabalho contribuam o aprofundamento democrático dentro dos Conselhos de Políticas Públicas de Ribeirão Preto."
